"","Casualty.Class","Casualty.Severity","Type.of.Vehicle","Weather.Conditions","Age.of.Casualty","missing"
"555",1,3,9,1,24,1
"556",1,3,9,1,24,1
"557",1,3,9,1,42,1
"558",2,3,9,1,9,1
"559",1,3,9,1,32,1
"560",2,3,9,1,11,1
"561",3,3,19,1,32,1
"562",1,3,9,1,48,1
"563",1,3,9,1,20,1
"564",1,3,5,1,57,1
"565",1,3,1,1,13,1
"566",1,3,9,1,83,1
"567",2,3,9,1,79,1
"568",1,3,9,1,34,1
"569",1,3,19,1,31,1
"570",1,3,9,1,42,1
"571",3,3,9,1,35,1
"572",1,3,9,1,19,1
"573",2,3,9,1,62,1
"574",2,3,9,1,1,1
"575",1,3,9,1,52,1
"576",3,3,9,1,45,1
"577",1,3,9,1,26,1
"578",3,3,9,1,23,1
"579",3,3,9,1,24,1
"580",3,3,9,1,25,1
"581",1,2,9,2,20,1
"582",2,2,9,2,36,0
"583",2,3,9,2,21,1
"584",2,3,9,2,25,1
"585",2,3,9,2,19,1
"586",1,2,9,2,40,1
"587",1,3,9,1,18,1
"588",2,3,9,1,16,1
"589",2,2,9,1,74,1
"590",1,3,1,1,44,1
"591",2,3,9,1,65,1
"592",1,3,9,1,68,1
"593",1,3,9,1,46,1
"594",1,3,1,1,65,1
"595",3,3,8,2,75,1
"596",1,2,2,2,20,1
"597",3,3,9,2,8,1
"598",1,3,9,1,45,1
"599",2,3,9,1,45,1
"600",1,3,1,1,26,1
"601",1,3,1,1,46,1
"602",1,3,5,1,60,1
"603",3,2,9,1,15,1
"604",1,3,9,1,20,1
"605",2,3,9,1,21,1
"606",1,3,19,1,28,1
"607",1,3,23,1,16,1
"608",1,3,9,1,37,1
"609",2,3,9,1,10,1
"610",2,3,9,1,12,1
"611",3,2,8,1,1,1
"612",3,3,8,1,36,1
"613",1,3,9,2,63,1
"614",2,3,9,2,25,1
"615",2,3,9,2,65,1
"616",2,3,9,1,25,1
"618",2,3,8,1,31,1
"619",2,3,8,1,27,1
"620",2,3,8,1,9,1
"621",2,3,8,1,7,1
"622",2,3,8,1,1,1
"623",2,3,8,1,54,1
"624",1,3,9,1,36,1
